Epoch,Time,U_Avg_R2,S_MAE_Skew,U_R2_Skew,U_MAE_Skew,S_MAE_Power,U_R2_Power,U_MAE_Power,S_MAE_Wire,U_R2_Wire,U_MAE_Wire
80,1847.381633758545,-553.38086,0.16331576,-1659.0078,0.32809457,0.06446664,-1.167819,0.07811951,0.0593605,0.03303516,0.17958632
81,1868.9819340705872,-605.18787,0.16262032,-1814.789,0.3430204,0.06630277,-1.1194804,0.0771968,0.06046777,0.34487015,0.1419535
82,1894.0874309539795,-497.1293,0.16492915,-1490.2261,0.3127632,0.06646276,-1.2249832,0.08068478,0.06063586,0.06305373,0.17494248
83,1917.8691849708557,-570.0396,0.16618648,-1709.2543,0.3295421,0.070266485,-1.3235812,0.07846378,0.067590654,0.4589694,0.128068
84,1938.9703271389008,-457.47964,0.16185074,-1371.3544,0.29210067,0.06485276,-1.1105657,0.079921715,0.059106603,0.02602911,0.18154536
85,1958.6501185894012,-475.34988,0.16125003,-1425.3385,0.30389017,0.06253151,-0.8917875,0.07339065,0.059518714,0.1806047,0.16138272
86,1978.0905485153198,-657.5011,0.16341458,-1971.7415,0.36042607,0.06924957,-1.0170324,0.07315452,0.058473036,0.25529325,0.15068607
87,1996.5283453464508,-655.8209,0.16578956,-1966.6178,0.35876325,0.0618668,-1.0913069,0.07677638,0.060834263,0.24629468,0.15222792
88,2016.7721619606018,-598.638,0.16277891,-1794.6636,0.34695858,0.06868881,-1.4311464,0.079745315,0.059452645,0.1807648,0.15889245
89,2037.4699692726135,-513.50714,0.15962996,-1539.7152,0.3202124,0.060723394,-1.0470731,0.07662199,0.058147524,0.24085969,0.15297197
90,2059.6310987472534,-545.10175,0.16016196,-1634.3774,0.33142844,0.062074937,-1.1091807,0.07647261,0.06031703,0.18124884,0.15977775
91,2081.4916591644287,-502.36813,0.16415837,-1505.5115,0.30450013,0.069294445,-1.3243089,0.08488896,0.067958295,-0.26850593,0.21278256
92,2108.0072798728943,-466.3132,0.15997289,-1398.4093,0.300811,0.06112061,-0.7971349,0.07287088,0.05843659,0.26680464,0.15326078
93,2129.8703677654266,-613.6596,0.16220094,-1840.3628,0.35454434,0.061512873,-0.8994751,0.07202611,0.056593586,0.2833972,0.14802057
94,2151.00936627388,-593.1674,0.16128768,-1778.8092,0.34307778,0.07086814,-0.9513066,0.07324862,0.061502002,0.2581405,0.14919749
95,2170.369984149933,-680.10156,0.17111269,-2038.3915,0.3686618,0.083709694,-2.4333904,0.09735317,0.07437422,0.52015543,0.11995722
96,2188.754101753235,-636.5311,0.16458769,-1908.6075,0.36052686,0.06190592,-1.0105035,0.07497286,0.060240228,0.024680793,0.18238868
97,2207.1868591308594,-474.72446,0.16072422,-1423.5275,0.30298942,0.06144756,-0.89515233,0.07492311,0.06030456,0.24931425,0.15183692
98,2226.460634469986,-586.2526,0.16245472,-1757.933,0.33595023,0.060553353,-0.8506161,0.074276805,0.05994097,0.025603056,0.17996405
99,2245.4835348129272,-646.2504,0.16296245,-1937.941,0.35997447,0.064626984,-1.1289616,0.07500302,0.059986815,0.31858677,0.14543632
100,2264.320128440857,-534.2533,0.1586969,-1602.1473,0.32928085,0.06251753,-0.87037015,0.07228465,0.059205566,0.25782531,0.15342921
